id,company,position,salary,city,remark,score,time,number
219,搜狐畅游,游戏开发,20-24,北京,,6,"2016-10-27 22:39:21",418
220,携程,研发岗,19.5,上海,单211硕士，13*15，批发价。,9,"2016-10-27 22:41:21",576
221,科大讯飞,产品,7k*14-17,合肥,,6,"2016-10-27 22:49:23",638
222,小米,运维工程师,19.6,北京,硕,4,"2016-10-27 22:50:11",586
223,全志,软件开发工程师,10W~11W,珠海,7500*14，没有试用期,1,"2016-10-27 22:53:44",311
224,贝贝网,产品运营,7.2W,杭州,"硕士普薪 6K*12",3,"2016-10-27 22:56:46",595
225,华为,研发工程师,20K*16,北京,Top2高校计算机硕士,13,"2016-10-27 22:57:43",1009
226,华为,网络安全工程师,24-27W,东莞,"华为special 15*16~18",3,"2016-10-27 22:59:44",500
227,搜狐,产品,16*14,北京,"这是一个学妹的工资，本科  实习5个月转正",1,"2016-10-27 23:01:44",441
228,联发软件设计（深圳）有限公司,嵌入式软件开发工程师,本科预计16W+,深圳,,5,"2016-10-27 23:04:09",226
229,腾讯,后台开发工程师,20.75w,成都,腾讯白菜价，12.5*16+7500房补,7,"2016-10-27 23:04:31",751
230,武汉银联商务,软件开发工程师,14W,武汉,年终奖看公司绩效，有时很给力，有个好几W,8,"2016-10-27 23:07:49",535
231,德州仪器,数字设计工程师,22.8万,上海,"硕士 15+ x 15",7,"2016-10-27 23:10:36",787
232,航天五院,助理工程师,12w,北京航天城,硕士及以上,7,"2016-10-27 23:10:50",775
233,中信银行信用卡中心,大数据研发工程师,19W,深圳,有加班费，也不怎么加班，放假特多，年薪里包含了各种现金福利,4,"2016-10-27 23:11:41",640
234,中科院微电子所,图像处理算法工程师,25w,北京,解决户口，要求比较高,6,"2016-10-27 23:14:24",638
235,平安科技,运维研发工程师,19W,深圳,小sp,0,"2016-10-27 23:15:36",497
236,阿里,C++研发,20.8,杭州,13*16白菜价,9,"2016-10-27 23:15:55",2194
237,联合利华,管理培训生第一年,17.5,全国,"12.5x14 ",4,"2016-10-27 23:27:33",814
238,亚马逊中国,SDE,"28.7(含sign bonus，细节没告知)",北京,"本科  
应届生T0-T4中的T1，T0最高
其他细节还未告知",5,"2016-10-27 23:35:45",930
239,错误信息,"select count(*) from master.dbo.sysobjects","select count(*) from master.dbo.sysobjects","select count(*) from master.dbo.sysobjects",,-2,"2016-10-27 23:44:18",57
240,搜狐畅游,运营策划,8*16,北京,硕士白菜价,6,"2016-10-27 23:44:36",363
241,滴滴,系统工程师,22.5,北京,小硕，批发价15*15,9,"2016-10-27 23:58:36",744
242,腾讯,产品,25w,深圳,sp,4,"2016-10-28 00:20:29",952
243,中原电子,软件类岗位,12w,武汉,硕士年含奖金12w，每月8k，本科非211六个月试用期每月减500，hr说每年涨10%,7,"2016-10-28 00:38:07",411
244,乐其,游戏开发工程师,10w-12w,上海,本科机械。起薪8000每月。上海市最低标准五险一金，但是公司包食宿，住宿离公司步行15分钟。,4,"2016-10-28 00:44:42",312
245,新美大,Java工程师,28,北京,"硕士，谈到Sp 18*15.5 感觉还可以",-1,"2016-10-28 07:00:54",487
246,新美大,Java工程师,28,北京,"硕士，谈到Sp 18*15.5 感觉还可以",3,"2016-10-28 07:01:06",561
247,头条,前端开发,28,北京,硕士,5,"2016-10-28 08:09:23",589
248,网易杭研,前端开发,20.8,杭州,硕士13*16,7,"2016-10-28 08:10:44",753
249,海康威视,前端开发工程师,14*15,杭州,硕士开发special,2,"2016-10-28 09:55:40",697
250,华为,操作系统研发,28,杭州,硕士SP，18*16,3,"2016-10-28 10:00:13",723
251,网易杭研,测试工程师,18-20,杭州,硕士打包，11*16,5,"2016-10-28 10:02:35",698
252,华为,硬件工程师,16.8W—19.2W,西安,华为二线城市一般offer吧，感觉在西安混的下去，不知道是不是拖了渣交的后腿,5,"2016-10-28 10:11:40",614
253,恒生电子,软件开发,12K*12+绩效/奖金,杭州,硕士实习转正offer,-1,"2016-10-28 10:30:31",133
254,滴滴,产品经理,18w,杭州,"本科研究生均一价 12*15 包晚饭",7,"2016-10-28 10:35:13",737
255,华为,数字芯片,22.4W,上海,"小硕 14k*16",5,"2016-10-28 10:43:03",718
256,大疆,硬件工程师,30W,深圳,,10,"2016-10-28 10:50:32",1078
257,华三,软件工程师,15w,杭州,奖金，入职前两年2-4个月，两年后4-5个月,8,"2016-10-28 11:05:50",767
258,捷尚视觉科技,算法工程师,1K*(15~18),杭州,硕士，非SP，1K*13+1K*（0~5），年薪在15W到18W,4,"2016-10-28 11:19:09",236
